,product_name,energy_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,saturated-fat_100g,nutrition-score-fr_100g,nutrition_grade_fr
251983,Panés ou colin d'Alaska,837.0,18.5,0.8,11.4,0.244094488188976,0.7,2.0,b
349768,Condiment Balsamique Blanc,464.0,22.0,0.0,0.5,0.00393700787401575,0.0,5.0,c
242235,Petit beurre Monoprix bio,1890.0,20.0,,6.0,0.39399999999999996,10.0,22.0,e
260563,Cornichons aigres-doux,144.0,4.0,1.7,1.1,0.492125984251969,0.0,-2.0,a
230740,Guacamole Épicé,788.0,1.1,4.6,1.7,0.40944881889763796,3.7,3.0,c
226526,Crocodiles,1384.0,62.0,0.0,5.9,0.04,0.2,14.0,d
265288,Brioche tranchée pur beurre,1408.0,10.0,,8.5,0.38188976377952705,6.3,16.0,d
258784,Petits pois et jeunes carottes à l\'étuvée très fins,241.0,4.1,4.1,2.8,0.19685039370078697,0.1,-9.0,a
191529,Les Huîtres de Cancale,,,,,,,,
222816,Saumon Rouge du Pacifique Fumé Sauvage,519.0,0.5,,24.0,1.3779527559055098,0.6,11.0,d
35494,Céréales Froot Loops,1590.0,10.0,3.0,1.0,0.20472440944881898,0.0,4.0,c
257331,Penne au blé complet,1525.0,3.0,6.0,13.0,0.0,0.4,-6.0,a
211533,BTE 1 / 5 THON BLANC HUILE D'OLIVE REFLETS DE France,925.0,0.0,0.0,26.0,0.393700787401575,2.4,3.0,c
116538,Croustipate,1717.0,1.3,1.7,5.5,0.6,15.8,19.0,e
340233,Cookies aux Pépites de Chocolat (Moins de Matières Grasses),1837.0,25.2,1.7,6.3,0.18503937007874,11.7,20.0,e
295913,Aberlour 12 Years Old,,,,,,,,
245736,Sablés d'Autrefois ,2109.0,27.0,3.5,7.0,0.118110236220472,15.0,18.0,d
249142,Graisse d'oie,3693.0,0.0,,0.0,0.00393700787401575,28.0,14.0,d
243282,Poulet rôti Graines de Sésame Sauce sésame,1006.0,2.9,,8.1,0.5118110236220471,1.0,3.0,c
288907,True Beauty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
213825,Palmiers feuilletés,2209.0,20.0,,6.1,0.35039370078740195,15.7,23.0,e
255624,Carrefour Peach Pulp Juice,280.0,14.0,0.5,0.5,0.0118110236220472,0.0,20.0,e
197449,Badoit ,,,,,,,,
275891,Farines De Blé,1439.0,0.7,5.5,12.0,0.0,0.3,-6.0,a
258726,Jean's orange,151.0,8.9,0.0,0.0,0.005118110236220471,0.0,12.0,e
249252,Miel de sapin,,,,,,,,
247646,Cordons Bleus de volaille à l'emmental,1241.0,0.8,,13.5,0.433070866141732,5.3,12.0,d
345112,Polaire Duo de Saumon,967.0,5.0,,11.9,0.5118110236220471,2.1,5.0,c
344972,Tortellini Ricotte & épinards ,1078.0,4.1,3.3,9.7,0.28,1.7,-2.0,a
196833,Sauce Chocolat Noisette,,,,,,,,
186342,Crème de foie de Porc à l'ancienne,1222.0,2.5,1.6,9.3,0.551181102362205,12.0,17.0,d
228253,Pain spécial bagel parsemé de graines de sésame,1229.0,6.8,5.2,11.0,0.295275590551181,1.0,-3.0,a
